organisatie,tier,contactpersoon,e-mail,datum_verstuurd,kanaal,status,laatste_actie,volgende_actie,datum_follow_up,notitie
# DOEL: kennismaken / koffie. STATUS: nog-versturen | concept-in-gmail | verstuurd | gereageerd | koffie-gepland | kennis-gemaakt | geen-reactie
Stichting de Vrolijkheid,A,,wesley@vrolijkheid.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,TOPMATCH nieuwe media + azc-kinderen
New Dutch Connections,A,,info@newdutchconnections.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Creatie met jonge vluchtelingen
VluchtelingenWerk Nederland,A,,scholen@vluchtelingenwerk.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Educatie-inbox
War Child Nederland,A,,info@warchild.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,TeamUp spel/creatie
MEE Samen,B,,info@meesamen.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,REGIO KEVIN
Augeo Foundation,C,,relatiebeheer@augeo.nl,,e-mail,concept-in-gmail,Gmail-concept (kennismaking),openen + verzenden,,Staff-training / veerkracht-angle
COA,A,,,,linkedin,nog-versturen,geen publiek adres,via locatie/LinkedIn,,Opvang azc
Nidos,A,,,,e-mail,nog-versturen,adres te bevestigen,juiste afdeling zoeken,,amv-jongeren
Pluryn,B,,,,e-mail,nog-versturen,adres te bevestigen,via site,,LVB-jeugd + speciaal onderwijs
Ambiq,B,,,,e-mail,nog-versturen,adres te bevestigen,via site,,REGIO KEVIN (Twente)
ARQ (IVP/Academy),C,,,,formulier,nog-versturen,adres te bevestigen,via arq.org,,Veerkracht-training peer/specialist
